NO,Temp,Time
1,28.31,7/6/2012 2:08:19 PM
2,28.88,7/6/2012 2:08:24 PM
3,30.13,7/6/2012 2:08:29 PM
4,30.88,7/6/2012 2:08:34 PM
5,31.50,7/6/2012 2:08:39 PM
6,31.88,7/6/2012 2:08:44 PM
7,31.88,7/6/2012 2:08:49 PM
8,31.88,7/6/2012 2:08:54 PM
9,31.88,7/6/2012 2:08:59 PM
10,31.88,7/6/2012 2:09:04 PM
11,32.38,7/6/2012 2:09:09 PM
12,32.69,7/6/2012 2:09:14 PM
13,32.81,7/6/2012 2:09:19 PM
14,33.00,7/6/2012 2:09:24 PM
15,33.19,7/6/2012 2:09:29 PM
16,33.25,7/6/2012 2:09:34 PM
17,33.31,7/6/2012 2:09:39 PM
18,33.44,7/6/2012 2:09:44 PM
19,33.50,7/6/2012 2:09:49 PM
20,33.56,7/6/2012 2:09:54 PM
21,33.56,7/6/2012 2:09:59 PM
22,33.56,7/6/2012 2:10:04 PM
23,33.56,7/6/2012 2:10:09 PM
24,33.56,7/6/2012 2:10:14 PM
25,33.56,7/6/2012 2:10:19 PM
26,33.56,7/6/2012 2:10:24 PM
27,33.56,7/6/2012 2:10:29 PM
28,33.56,7/6/2012 2:10:34 PM
29,33.56,7/6/2012 2:10:39 PM
30,33.56,7/6/2012 2:10:44 PM
31,33.56,7/6/2012 2:10:49 PM
32,33.56,7/6/2012 2:10:54 PM
33,33.31,7/6/2012 2:10:59 PM
34,32.88,7/6/2012 2:11:04 PM
35,32.63,7/6/2012 2:11:09 PM
36,32.31,7/6/2012 2:11:14 PM
37,31.88,7/6/2012 2:11:19 PM
38,31.88,7/6/2012 2:11:24 PM
39,31.75,7/6/2012 2:11:29 PM
40,31.50,7/6/2012 2:11:34 PM
41,31.25,7/6/2012 2:11:39 PM
42,31.13,7/6/2012 2:11:44 PM
